study_accession,sample_accession,Acc_no,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Borstel.ID,DNA_libID,Org.ID,Country.of.origin,NGS.lineage,method,INH_pDST_all,RMP_pDST_all,EMB_pDST_all,PZA_pDST_all,AMK_pDST_all,CAP_pDST_all,KAN_pDST_all,MFX_pDST_all,LFX_pDST_all,INH_MIC,RMP_MIC,EMB_MIC,PZA_MIC,AMK_MIC,CAP_MIC,KAN_MIC,MFX_MIC,LFX_MIC,resist.profile
PRJEB48275,SAMEA10029749,ERS7707957,ERX7478240,ERR7910843,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910843/ERR7910843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910843/ERR7910843_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910843/13759-14_lib3391_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910843/13759-14_lib3391_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13759,13759-14_lib3391,4171,Peru,4.3.4.2,MGIT,R,R,S,S,S,S,S,S,S,3,20,NA,NA,0.5,2.5,2.5,0.125,<=0.188,MDR
PRJEB48275,SAMEA10029750,ERS7707958,ERX7478241,ERR7910844,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910844/ERR7910844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910844/ERR7910844_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910844/13760-14_lib3392_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910844/13760-14_lib3392_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13760,13760-14_lib3392,4308,Peru,4.3.4.2,MGIT,R,R,S,S,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,<=0.0625,<=0.188,MDR
PRJEB48275,SAMEA10029750,ERS7707958,ERX7478242,ERR7910845,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910845/ERR7910845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910845/ERR7910845_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910845/13760-14_lib3392_nextseq_n0012_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910845/13760-14_lib3392_nextseq_n0012_151bp_R2.fastq.gz,NA,14-13760,13760-14_lib3392,4308,Peru,4.3.4.2,MGIT,R,R,S,S,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,<=0.0625,<=0.188,MDR
PRJEB48275,SAMEA10029751,ERS7707959,ERX7478243,ERR7910846,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910846/ERR7910846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910846/ERR7910846_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910846/13762-14_lib3393_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910846/13762-14_lib3393_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13762,13762-14_lib3393,4329,Peru,4.3.3,MGIT,R,R,S,R,S,S,S,S,S,0.4,>20,NA,NA,1,2.5,1.25,<=0.0625,0.375,MDR
PRJEB48275,SAMEA10029753,ERS7707961,ERX7478244,ERR7910847,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910847/ERR7910847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910847/ERR7910847_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910847/13763-14_lib3394_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910847/13763-14_lib3394_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13763,13763-14_lib3394,4418,Peru,4.1.1,MGIT,R,S,S,S,S,S,S,S,S,3,<=0.125,NA,NA,0.5,2.5,1.25,0.125,0.375,mono
PRJEB48275,SAMEA10029753,ERS7707961,ERX7478245,ERR7910848,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910848/ERR7910848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910848/ERR7910848_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910848/13763-14_lib3394_nextseq_n0012_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910848/13763-14_lib3394_nextseq_n0012_151bp_R2.fastq.gz,NA,14-13763,13763-14_lib3394,4418,Peru,4.1.1,MGIT,R,S,S,S,S,S,S,S,S,3,<=0.125,NA,NA,0.5,2.5,1.25,0.125,0.375,mono
PRJEB48275,SAMEA10029755,ERS7707963,ERX7478246,ERR7910849,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910849/ERR7910849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910849/ERR7910849_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910849/13764-14_lib3395_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910849/13764-14_lib3395_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13764,13764-14_lib3395,4551,Peru,4.1.2.1,MGIT,R,R,R,R,S,S,S,S,S,10,>20,NA,NA,1,2.5,2.5,0.125,0.375,MDR
PRJEB48275,SAMEA10029756,ERS7707964,ERX7478247,ERR7910850,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910850/ERR7910850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910850/ERR7910850_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910850/13765-14_lib3396_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910850/13765-14_lib3396_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13765,13765-14_lib3396,4571,Peru,4.3.3,MGIT,R,R,R,R,S,S,S,S,S,10,20,NA,NA,1,2.5,2.5,0.125,0.375,MDR
PRJEB48275,SAMEA10029757,ERS7707965,ERX7478248,ERR7910851,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910851/ERR7910851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910851/ERR7910851_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910851/13766-14_lib3397_nextseq_n0005_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910851/13766-14_lib3397_nextseq_n0005_151bp_R2.fastq.gz,NA,14-13766,13766-14_lib3397,4572,Peru,4.1.2.1,MGIT,R,R,S,R,S,S,S,S,S,10,>20,NA,NA,0.5,1.25,1.25,<=0.0625,<=0.188,MDR
PRJEB48275,SAMEA10029757,ERS7707965,ERX7478249,ERR7910852,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910852/ERR7910852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910852/ERR7910852_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910852/13766-14_lib3397_nextseq_n0012_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910852/13766-14_lib3397_nextseq_n0012_151bp_R2.fastq.gz,NA,14-13766,13766-14_lib3397,4572,Peru,4.1.2.1,MGIT,R,R,S,R,S,S,S,S,S,10,>20,NA,NA,0.5,1.25,1.25,<=0.0625,<=0.188,MDR
