study_accession,sample_accession,secondary_sample_accession,experiment_accession,run_accession,submission_accession,tax_id,scientific_name,library_name,fastq_ftp,submitted_ftp,Sample,Source,RIF pDST-Deeplex,INH pDST-Deeplex,PZA pDST-Deeplex,EMB pDST-Deeplex,SM pDST-Deeplex,FQ pDST-Deeplex,KAN pDST-Deeplex,AMI pDST-Deeplex,CAP pDST-Deeplex,ETH pDST-Deeplex,LIN pDST-Deeplex,sample_alias
PRJEB25999,SAMEA3356008,ERS2400844,ERX2535382,ERR2516166,ERA1302634,1773,Mycobacterium tuberculosis,BE-71. Genoscreen. 12MY1752. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/006/ERR2516166/ERR2516166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/006/ERR2516166/ERR2516166_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516166/8413.1.870bffe445069934ea8a8882e01cee03.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516166/8413.2.000fc73a46ed5a11ce44c866978a5d63.fq.gz,12MY1752,SBN TB Ref Center,R-R,R-R,R-R,R-R,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3356013,ERS2400849,ERX2535387,ERR2516171,ERA1302639,1773,Mycobacterium tuberculosis,BE-113. Genoscreen. 13MY0772. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2516171/ERR2516171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2516171/ERR2516171_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516171/8443.1.31b7085d26fb3048c33f14d93f021f1e.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516171/8443.2.6d8f3c71be5327bcbfdfc182b8eaceb0.fq.gz,13MY0772,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3356014,ERS2400850,ERX2535388,ERR2516172,ERA1302640,1773,Mycobacterium tuberculosis,BE-143. Genoscreen. 13MY1139. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2516172/ERR2516172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2516172/ERR2516172_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516172/8457.1.151f91a907d38b98865b6da9c89e1968.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516172/8457.2.0c1e1fc29330e66e46df08e3ad5e9333.fq.gz,13MY1139,SBN TB Ref Center,S-S,S-U,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3357581,ERS2400852,ERX2535390,ERR2516174,ERA1302642,1773,Mycobacterium tuberculosis,BE-171. Genoscreen. 13MY1440. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/004/ERR2516174/ERR2516174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/004/ERR2516174/ERR2516174_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516174/8462.1.73aee7e1c3af4bc8f24e9198bf81252c.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516174/8462.2.97283d073a323e1720a767f66ea8835e.fq.gz,13MY1440,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3357582,ERS2400853,ERX2535391,ERR2516175,ERA1302643,1773,Mycobacterium tuberculosis,BE-73. Genoscreen. 12MY1792. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/005/ERR2516175/ERR2516175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/005/ERR2516175/ERR2516175_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516175/8481.1.e06882793a4e051040ba551c1aa09960.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516175/8481.2.64088ef28ef06b731131fc8d012c8455.fq.gz,12MY1792,SBN TB Ref Center,R-R,R-R,R-R,S-R,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3357587,ERS2400858,ERX2535396,ERR2516180,ERA1302648,1773,Mycobacterium tuberculosis,BE-212. Genoscreen. 13MY2090. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/000/ERR2516180/ERR2516180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/000/ERR2516180/ERR2516180_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516180/8519.1.2d881d5121b8b5570182845c115a3f64.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516180/8519.2.a1fffb4980f76d41cb3ca1416878658e.fq.gz,13MY2090,SBN TB Ref Center,S-S,S-U,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3357588,ERS2400859,ERX2535397,ERR2516181,ERA1302649,1773,Mycobacterium tuberculosis,BE-49. Genoscreen. 11MY0618. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2516181/ERR2516181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/001/ERR2516181/ERR2516181_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516181/8521.1.ec28e62b0aae20649d640db47c11a07e.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516181/8521.2.b9c5a71ac9f7f3066d49a0617a2c0542.fq.gz,11MY0618,SBN TB Ref Center,R-R,R-R,R-R,R-R,ND,R-R,ND,R-R,ND,R-R,ND,NA
PRJEB25999,SAMEA3357591,ERS2400862,ERX2535400,ERR2516184,ERA1302652,1773,Mycobacterium tuberculosis,BE-165. Genoscreen. 13MY1366. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/004/ERR2516184/ERR2516184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/004/ERR2516184/ERR2516184_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516184/8557.1.a10e433fad7ba9d03302faf3331a5467.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516184/8557.2.19ce656c396fcd3bde0dc2dcdd191b61.fq.gz,13MY1366,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3357592,ERS2400863,ERX2535401,ERR2516185,ERA1302653,1773,Mycobacterium tuberculosis,BE-218. Genoscreen. 13MY2169. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/005/ERR2516185/ERR2516185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/005/ERR2516185/ERR2516185_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516185/8568.1.1d7c0e66abfbe2ec76abad0ea0b334aa.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516185/8568.2.788f3db0dac60280bca3b5239b2bd662.fq.gz,13MY2169,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-U,ND,S-S,ND,NA
PRJEB25999,SAMEA3357594,ERS2400865,ERX2535403,ERR2516187,ERA1302655,1773,Mycobacterium tuberculosis,BE-216. Genoscreen. 13MY2158. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/007/ERR2516187/ERR2516187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/007/ERR2516187/ERR2516187_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516187/8584.1.a39a3b0c870b010fe209298a771ef040.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516187/8584.2.361db9d1393612378b18deab617928df.fq.gz,13MY2158,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
PRJEB25999,SAMEA3359346,ERS2400871,ERX2535409,ERR2516193,ERA1302661,1773,Mycobacterium tuberculosis,BE-145. Genoscreen. 13MY1143. 1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2516193/ERR2516193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2516193/ERR2516193_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516193/8605.1.b6682cb0596490d2588a9c178a216a0d.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR251/ERR2516193/8605.2.e1d808e5d86af88634a239d4e2b62250.fq.gz,13MY1143,SBN TB Ref Center,S-S,S-S,S-S,S-S,ND,S-S,ND,S-S,ND,S-S,ND,NA
